CRM,SCHOOL,AM,SM,Whatsapp Number, additional what' app no. ,School Address,NAME DESIG.,MOBILE,EXAPIRY,,,,,EMAIL,,,Comment ,
81808,NEW HORIZON WORLD ACADEMY,iqbal,kripal,98334 05116,,"New horizon world academy Plot no 58 to 62 sector 20 koparkhairne 400709, 9152139989, 7039422240",PRINCIPAL -  SUJATA MA'AM,9.62E+19,2024-07-01205 Days,2023-12-08 16:00:087 hour 30 min,8,09-Nov,05-Jun,manisharasam_joshi@yahoo.com,amitr_singh@rediffmail.com,sujata.a.menon@gmail.com,guptapushpa08@gmail.com,info@nhwa.co.in
66181,Bhinai,iqbal,kripal,6377506336,,"Sri Pragya Public school, Sthanak Gali, Bhinai, Pincode - 305622, phone- 6377506336",,,,,,,,,,,,
66181,Gulabpura,iqbal,kripal,8529251166,,"Shri Pragya Public School, Shri Nanak Jain Chahatralya, Gulabpura Dist : Bhilwara, Rajasthan, Phone - 8529251166, Pincode - 311021",,,,,,,,,,,,
66181,College,iqbal,kripal,9587888125,,"Shri Pragya Mahavidyalaya, Pragya Road, Bijainagar, Dist. Beawar, Pin Code 305624, Contact 9587888125",,,,,,,,,,,,
82100,www.mountvalley.co.in,rohit,khizer,,,,,9.93E+19,2024-06-28202 Days,,,,,mount.valley.international.sch@gmail.com,,,,
65400,Ayush Public School,iqbal,akshat,98649 91736,,"Ayush Public School, Near PWD colony, Town: Jakhalabandha District: Nagaon, State: Assam. Post office: Jakhalabandha, Pin code: 782136.",,9.86E+09,2024-03-0183 Days,2023-12-08 17:56:005 hour 17 min,8,-,02-Feb,pradunmayadutta@gmail.com,,,,
66417,B P world school,iqbal,akshat,78897 17437,94196 00789,"BP World School, Sunderbani Ward no 1 Sub-District Government Hospital Jammu & Kashmir, 185153 ",,,9.42E+09,2024-07-03207 Days,2023-12-08 22:34:1446 min,20,04-Apr,03-May,gupta.rohit0789@gmail.com,,,
65365,Central Academy Ajmer,iqbal,akshat,98280 77332,,"Sudhakar kumar, CENTRAL ACADEMY, PRAGATI NAGAR KOTRA, AJMER RAJASTHAN, 305004",,9.21E+09,2024-10-30326 Days,2023-12-08 14:18:108 hour 55 min,25,00/03,-,centralacademyajm@gmail.com,,,,
74594,Deoria Private ITI - Pawan Kumar,iqbal,akshat,87001 83732,,"Deoria Private ITI, Krishna Nagar Deoria Khas, District - Deoria, UP 274001",,8.70E+19,2024-03-1395 Days,2023-12-08 15:34:237 hour 54 min,23,-,01-Jan,Deoriaitc@gmail.com,,,,
68678,Dream Valley Educational Institute-Altaf Maqbool,iqbal,akshat, 95963 42402,,"Dream Valley Educational Institute Tangdar, District Kupwara, Tehsil Tarathpora, Pincode 193224",,9.60E+09,2024-04-12125 Days,2023-12-08 14:28:278 hour 57 min,10,-,-,dreamvalleyeduinstitute@gmail.com,altafmaqbool545@gmail.com,,,
64874,Golden Dale School Begusarai,iqbal,akshat,"90062 66194, 82923 54447",,"Golden dale school, At- Ballia Block campus  , Near Pashu hospital , District- Begusarai, Pin - 851211",,9.01E+19,2024-03-1092 Days,2023-12-08 13:53:469 hour 17 min,7,-,-,goldenpiyush@gmail.com,,,,
68733,GOLDEN VALLEY H S SCHOOL-Joydip Deb,iqbal,akshat,94361 32294,,"GOLDEN VALLEY H S SCHOOL, PADMAPUR,  DHARMANAGAR, PIN 799250, TRIPURA",,9.44E+09,2024-03-23105 Days,2023-08-10 19:15:18120 day 4 hour 10 min,0,-,-,jaydwip@gmail.com,gvhsdmr2017@gmail.com,,,
68402,Gurukul International School,iqbal,akshat,95526 67478,,"Samarth Complex, Near Samarth Petroleum, Nashik-Saputara Highway, Dindori , Dindori, India, Maharashtra 422202",,9.55E+19,2024-03-18100 Days,2023-12-08 17:08:556 hour 16 min,13,-,-,gurukulisfuture@gmail.com,,,,
66289,Lotus international school,iqbal,akshat,80555 51345 (jawaharnagar branch),94215 77111 (mohadi branch),"Lotus international public school jawaharnagar, Vivekanand colony petrol pump thana tah + dist - Bhandara, Maharastra 441906 , MOHADI BRANCH ADDRESS  -Dongargaon siddhi mandir jawal andhalgaon road tah -mohadi dist - Bhandara 441906",,8.06E+19,2024-07-06210 Days,2023-12-08 20:52:462 hour 27 min,9,-,-,lotusinternational.jn@gmail.com,rajeshgondude@gmail.com,,,
66555,Maharaja Agrasen Polytechnic College-Navneet,iqbal,akshat,78300 36335,,"Maharaja Agrasen Polytechnic College, Dayantpur jewar G.B.Nagar UP 203135",,7.83E+19,9.54E+09,2024-08-20255 Days,2023-12-08 14:03:249 hour 18 min,21,-,00/01,mapcd4@gmail.com,,,
80929,Mathan School of Music-Praveen Sir,iqbal,akshat,97913 04311,,"1759 MJT Buildings, Olumbus Ramanathapuram, Coimbatore 641045",,77086128309791304311 another number,2024-01-0628 Days,2023-12-08 20:34:172 hour 55 min,4,-,-,mathanschoolofmusic@gmail.com,,,,
66104,MODERN INTERNATIONAL SCHOOL/Chandrashakher Patel,iqbal,akshat,6268 586 583,,"Modern international school khulri, Village+post- khulri, Teh. - gadarwara, Distt.- narsinghpur 487441",,8.82E+19,2024-08-17252 Days,2023-12-08 17:17:275 hour 57 min,27,-,-,cspatel23@gmail.com,,,,
2488,Prabhu Dayal Vidyalaya Kurukshetra,iqbal,akshat,82953 11978,,"H No. 1635, Sector - 13, Urban Estate, Kurukshetra HARYANA, Pin Code - 136118",,9.81E+19,2024-07-01205 Days,2023-12-08 16:07:267 hour 0 min,30,-,01-Feb,nirguni@gmail.com,cpstomar@gmail.com,trustees.pdet@gmail.com,,
81,QMS Boys,iqbal,akshat,97726 01466,,Queen marys sr sec school ramnagar pushkar Road ajmer 305004,,9.95E+19,2024-08-10245 Days,2023-12-08 00:00:0023 hour 3 min,23,-,00/01,qmsboys@gmail.com,,,,
405,QMS Girls,iqbal,akshat,80036 27170,,"Queen Mary's Girls School, B K Kaul Nagar, Pushkar Road, Ajmer 305001",,9.46E+20,,2024-08-10245 Days,2023-11-28 10:00:3510 day 13 hour 4 min,0,-,-,qmgs_1998@yahoo.com,,,
404,QMS Nasirabad,iqbal,akshat,94612 76730,,"Nandla, Nasirabad, Dist Ajmer, Rajasthan, Ajmer, Rajasthan 305601",,7.73E+19,2024-08-10245 Days,2023-09-19 11:06:4780 day 11 hour 57 min,0,-,-,qmsnasirabad@gmail.com,,,,
81437,RK Bansal International School,iqbal,akshat,95755 29777,,"R. K. Bansal International School, Village Kamed, Ujjain-Nagda Bypass, Near Mangalnath Temple, Ujjain (MP)-456006",,7.69E+19,2024-06-28202 Days,2023-12-08 17:56:495 hour 32 min,17,-,-,rkbansalschool@gmail.com,,,,
82225,Samrat Ashok College,rohit,akshat,reseller end 9301551532,,"238/239 Green Height, A-Sec, Sarvadharm Kolar, Bhopal - 462042",,8718914684 Himanshu Sir9301551532,2023-12-02-6 Days,,,,,sheikhaadil.322@gmail.com,,,,
69066,Sanskriti Global School Badnagar,iqbal,akshat,90097 49551,,"The Sanskriti Global School, SH-18, Ujjain Barnagar Highway, Near Kharsod khurd, Barnagar, Distt. Ujjain 456222",,9.18E+19,2024-03-1698 Days,2023-12-08 12:24:5711 hour 1 min,4,-,-,tanujarajawat.rajawat3@gmail.com,,,,
65811,Shyama devi public school,iqbal,akshat,96287 54001,,"Shyama devi public school, Village Babhnauli post Barawa Bazar District Kushinagar UP 274305",,9.84E+19,2024-04-01114 Days,2023-12-08 13:30:069 hour 44 min,3,-,-,amit9935207964@gmail.com,,,,
505,"St. Maryam Public School, Jhasi (Senior)",iqbal,akshat,92356 31471,,103/A NEAR TELEPHONE EXCHANGE VEERANGNA NAGAR JDA COLONY MEDICAL ROAD JHANSI (Pin - 284128),,akshat,92356314717525034899 (arham sir),2024-04-12125 Days,2023-12-08 13:18:089 hour 48 min,23,-,-,Muhiuddinqureshie@gmail.com,,,
81433,UP Public School,iqbal,akshat,99846 18080,,"Up public school, Vill- tenua narauli bhikham, Post -khukhundu, Distt -deoria up 274501",,9.72E+09,2024-02-1164 Days,2023-12-08 15:08:068 hour 21 min,19,-,-,Deoriaitc@gmail.com,uppublics.info@gmail.com,,,
502,Shivam Public School,iqbal,aayushi,74097 40907,96502 62424,"Shivam Public School, Shivam nagar Dhakar mod khurja, Pin :- 203131",,8.48E+09,7.41E+19,8.19E+09,2024-10-31327 Days,2023-12-08 14:05:269 hour 0 min,6,-,00/01,ivsiwal@gmail.com,,
702,Oil valley Girls and Boys School,iqbal,aayushi,69016 81354,,"Oil Valley Girls' & Boys' School, (CBSE) Banipur, Hatimurah, P.O. DIBRUGARH, Assam 786003. ",,9.44E+19,2024-07-04208 Days,2023-12-08 15:12:417 hour 54 min,8,06-Oct,11-Dec,2008kfb@gmail.com,ovgbsdibrugarh1@gmail.com,,,
65115,"Uma Devi Acadmey, Mohammadi ",iqbal,aayushi,93366 39504,," Uma Devi Children's Academy, Gulauly Road, Mohammadi Kheri Pin :-  262804",,,9.34E+09,2024-03-31113 Days,2023-12-08 21:07:502 hour 3 min,14,-,-,info@udca.in,,,
65203,Dr Rajeev Modern Public School: Rajeev Varma,iqbal,aayushi,81712 32133,,"Dr Rajeev Modern Public School, SDM Colony Near   Block Gate and Pitamberpur Station Faridpur, Pin code  243503",,8.17E+09,2024-03-24106 Days,2023-12-08 14:57:128 hour 14 min,15,-,00/01,rajeevvarma00@gmail.com,,,,
65273,Bharti Vidya Bhawan (BVB) Banswara : Piyush Nagawat,iqbal,aayushi,90049 78778,,"Bharti Vidhya Bhawan sr sec school, Ratitalai link road,Banswara rajasthan 327001",,9.32E+09,9.00E+19,9.00E+09,2024-04-25138 Days,2023-12-08 14:11:299 hour 1 min,27,02-Feb,-,nagawat@gmail.com,,
67768,Sham Golden Academy,iqbal,aayushi,97481 28123,,"Sham Golden Academy, 36/D, Topsia Road (East) Kolkata - Pin -700100, Uttar Panchanna Gram",,7.00E+19,2024-03-31113 Days,2023-12-08 15:33:407 hour 49 min,30,-,00/01,mdpaigamullah@gmail.com,,,,
65411,Shivam College of Education,iqbal,aayushi,84770 00372,,"STC Campus, Junction Road,Khurja, Distt- Bulandshahr, UP -Pincode - 203131",2024-10-31327 Days,2023-12-07 13:50:401 day 9 hour 23 min,5,-,03-Mar,ravistc1@gmail.com,,,,,,
8501,DG Agrawal Nava Pur School,iqbal,aayushi,94037 17446,,"Smt. D.G. Agrawal English Medium School Navapur, Mahalakshmi park NH6 Navapur Tal Navapur Dist. Nandurbar,Pincode 425418",,2024-05-03146 Days,2023-12-09 00:00:00-52 min,18,-,00/02,dgamnps_varadipada@rediffmail.com,,,,,
422,"DG Agrawal Memorial, Pimpalner ",iqbal,Aayushi,96654 34121,,"Smt. D.G.Agrawal Memorial English Medium School,Indira Nagar,Pimplner. P. O.Tal. Sakri,Dist. Dhule ,Maharashta ,Pin - 424306",Maharashtra- Biju Abraham,iqbal,aayushi,9.41E+19,2024-09-09275 Days,2023-12-08 17:43:115 hour 21 min,24,01-Jan,00/02,dgagrawalschool@gmail.com,,
81590,"DG Agrawal Memorial Senior Secondary School, Chinchpada",iqbal,aayushi,84462 34322,,"Smt. D g Agrawal Memorial English Medium School, Chinchpada Near Railway StationTal.Navapur,Dist.Nandurbar,Maharashtra,Pin. 425417",aayushi,7798496551 Biju sir,2024-06-03177 Days,2023-12-08 18:49:194 hour 40 min,25,-,00/02,smtdgagrawal@gmail.com,,,,
8139,Lokmanya Tilak Higher Secondary School,rohit,aayushi,82240 39394,,"Lokmanya Tilak higher secondary school CBSE behind railway station neelganga ujjain, Pincode 456001",,2.56E+17,,2024-05-01144 Days,2023-12-08 14:21:058 hour 46 min,10,-,02-Feb,lthssujjain@gmail.com,,,
80981,"Sai Ram International School, Manguwal,Himachal Pradesh ",iqbal,aayushi,8352810745,,"Sai Ram international school, Manguwal PO. Rajpura Tehsil Nalagarh District Solan, Himachal Pradesh Pin no. 174101",,,,,,,,,,,,
503,Shivam Global School,iqbal,aayushi,84770 00361 ,,"Shivam Global School, Khurja Junction, Bulandshahr (UP), Pin code- 203131.",,,,,,,,,,,,
