CRM ID ,Hot Lead School Name,Address Approved f,Address,Current Mobile No. ,Mobile,State,Start Date,End Date,Follow Date,Comment,Status,Tags,User,Marketing Date,Account Manager,Support Manager,matched_with,Start_Follow_Date_Difference,Start_End_Date_Difference,Unique Tags,Unique Status
68317,Shri Hari Vidyaniketan-rajesh kumar meher,TRUE,"Address: Padarparapara, Tarbha, Odisha 767016",7978929922,917979000000,eSchool,3/9/2019,3/9/2019,4/2/2020,Lead came again on 01/02/2020 10:28:50 with email ID shrihari.vidyaniketan@gmail.com And mobile no. 917978929922,,"Ads - FB,Hot Lead",shantanu,########,agoenka,,0,390,0,"['Ads - FB', 'Hot Lead']",[]
68328,Sardonyx School - Jhajha-M Akhtar Sardonyx,TRUE,"Address: Q9M6+856, Dumar Pokhar Rd, Jhajha, Bihar 811308",8298855384,918299000000,eSchool,3/9/2019,3/9/2019,,Received a message on whatsapp No my management is no interested in it.,"e-Demo,Not Interested","Ads - FB,Hot Lead",shivika,########,shivika,,0,,0,"['Ads - FB', 'Hot Lead']","['e-Demo', 'Not Interested']"
68949,PBS Gurukul-bhagvat sonawane,TRUE,"Address: 74/1 Near Railway Flyover, Kotamgaon Kh, Yeola, Maharashtra 423401",88062 72733,918806000000,MAHARASHTRA,########,########,,"he blocked my number, looks like he is not interested.",Not Interested,"Hot Lead,JUN23_IMP,JUN23",sakina,########,sakina,,0,,0,"['Hot Lead', 'JUN23_IMP', 'JUN23']",['Not Interested']
68365,Empire College Of Science,TRUE,"Address: Moodal, Kuttippuram, Kerala 679571",9946211243,919946000000,KERALA,########,########,,after intro he disconnected the call,,"Ads - SMS,demo-request,Hot Lead,JUN23_IMP,JUN23",megha,########,ankita,,68365,,0,"['Ads - SMS', 'demo-request', 'Hot Lead', 'JUN23_IMP', 'JUN23']",[]
68368,Sri Sai concept school-K.Reddeiah,TRUE,"Address: Kurnool - Ongole Main Rd, Samatha Nagar, Sujatha Nagar, Ongole, Andhra Pradesh 523002",95055 03412,919506000000,ANDHRA PRADESH,########,########,,disconnects the call heard everything in detail and then hangs up on my call. Marking it not interested.,"Updated,Not Interested","Hot Lead,JUN23_IMP,JUN23",sakina,########,hussain,,0,,0,"['Hot Lead', 'JUN23_IMP', 'JUN23']","['Updated', 'Not Interested']"
68638,Oriental Naga Academy-Khathing Luiram,TRUE,"Address: 39W9+2G7, Ukhrul, Manipur 795142",90894 50007,919078000000,eSchool,5/2/2019,5/2/2019,,Not getting any response from customer's end. So marking him not interested. If any call recvd from customer's end then take it in followup,"e-Demo,No Response,Not Interested","Hot Lead,Next Session,JUN23_IMP,JUN23",shivika,########,shivika,,0,,0,"['Hot Lead', 'Next Session', 'JUN23_IMP', 'JUN23']","['e-Demo', 'No Response', 'Not Interested']"
68672,SKS Doon World School-Vishnu Varshney,TRUE,"Address: 53M8+4RG, SH 43, Jakhaulia, Gotha, Uttar Pradesh 202526",81267 40185,918127000000,uttar pradesh,########,########,,approached the previous year lead he said schools have not yet opened we are not interested in school software as of now.,Not Interested,"Hot Lead,JUN23_IMP,JUN23",sakina,########,sakina,,0,,0,"['Hot Lead', 'JUN23_IMP', 'JUN23']",['Not Interested']
68703,Elite Global School-Bhagirath Singh Rawat,TRUE," ROAD, Delanpur, Sailana, Madhya Pradesh 457001","9413752212,  89669 89049",919414000000,eSchool,########,########,########,one laddy received the call and said now Rawat ji is not here asked to call back when he will come back.,Important,"Ads - FB,Hot Lead",iqbal,########,iqbal,,0,1671,0,"['Ads - FB', 'Hot Lead']",['Important']
68728,Shemford futuristic school kupwara- John Mohd,TRUE,"Birpur, adjoining Imperial Resorts, Jammu, Jammu and Kashmir 181133",94693 19107,919150000000,JAMMU And KASHMIR,########,########,8/5/2024,they say we are using software,,"Hot Lead,JUN23_IMP,JUN23",rohit,########,sakina,,0,1913,0,"['Hot Lead', 'JUN23_IMP', 'JUN23']",[]
68757,Vedic Indian School-Naveen Kumar Nandey,TRUE,"Address: Harishankar lane, opposite aditya vision 7004508433, Haji Nagar Colony, Mithanpura, Muzaffarpur, Bihar 842002",7004508433,919974000000,BIHAR,########,########,,he said I am not interested as of now.,Not Interested,"Ads - FB,Hot Lead",sakina,########,sakina,,68757,,0,"['Ads - FB', 'Hot Lead']",['Not Interested']
68821,Golden Spring School-Patan Sak,TRUE," Khan Estate, T.Sakibanda, Andhra Pradesh 516214","77996 12447, 85003 04504",917800000000,ANDHRA PRADESH,########,########,,he is not interested.,Not Interested,"Hot Lead,JUN23_IMP,JUN23",sakina,########,sakina,,0,,0,"['Hot Lead', 'JUN23_IMP', 'JUN23']",['Not Interested']
68842,Satyaketu Vidyalaya-Yudhvir Singh,TRUE," KOTLI MIAN FATEH, R S PURA, Jammu, Jammu and Kashmir 181132",98582 35473,919858000000,eSchool,########,########,,"Call to him, said sorry not now require","e-Demo,Not Interested","Ads - FB,Hot Lead",shivika,########,shivika,,0,,0,"['Ads - FB', 'Hot Lead']","['e-Demo', 'Not Interested']"
68925,Gurukul International Convent School akash yadav,TRUE," Janakpur Near Darauli Railway station, Muhammadpur Phooli Road, Zamania, Uttar Pradesh 232326",85428 48484,918053000000,eSchool,6/8/2019,6/8/2019,,said we have already purchased not interested,Not Interested,"Hot Lead,Next Session,JUN23_IMP,JUN23",shivika,########,shivika,,0,,0,"['Hot Lead', 'Next Session', 'JUN23_IMP', 'JUN23']",['Not Interested']
68935,Elite Minds School,TRUE,"Elite Minds International School Campus, Village Chinniga, Jannapura - Mudigere, karnataka",94484 99512,919900000000,KARNATAKA,6/9/2019,6/9/2019,,he said he is not interested,Not Interested,"Ads - FB,Hot Lead",sakina,########,sakina,,0,,0,"['Ads - FB', 'Hot Lead']",['Not Interested']
68972,Tunga Pre-Primary School-Selvam R S Subramani,TRUE,"Tunga Pre and Primary School, Hospet - 583225 (Behind Anjenaya Temple)",94496 22566,919450000000,KARNATAKA,########,########,,called he said we have our own software,Not Interested,"Ads - FB,Hot Lead",shivangi,########,sakina,,0,,0,"['Ads - FB', 'Hot Lead']",['Not Interested']
69258,Royal Public School-Rakesh Meena,TRUE,"Jamoli Pin Code 311201 School Area Rural Cluster Gups Rampura, Jamoli Block Jahajpur District Bhilwara State Rajasthan",96605 77252,919661000000,eSchool,7/6/2019,7/6/2019,,he said not intrested,"e-Demo,Updated,Not Interested","Ads - FB,Hot Lead",shradha,########,hussain,,0,,0,"['Ads - FB', 'Hot Lead']","['e-Demo', 'Updated', 'Not Interested']"
69043,SHEILING HOUSE,TRUE,"Address: Zoe Ville, 10/498, Allenganj, Kanpur, Uttar Pradesh 208001",9129976192,91915100000000,eSchool,########,########,,"Call disconnecting automatically, not getting any response, marking him not interested","No Response,Not Interested","1800,Hot Lead,JUN23_IMP,JUN23",shivika,########,shivika,,0,,0,"['1800', 'Hot Lead', 'JUN23_IMP', 'JUN23']","['No Response', 'Not Interested']"
69575,Village Montessori School - DrShiv Mohan,TRUE,"Mishrana, Khaprel Bazar, Lakhimpur, Kapoorthala Road, Kheri, Lakhimpur Kheri - 262701",99999 49717,920000000000,eSchool,########,########,,Said currently we are not interested in purchasing software. Whenever we need we will call you,,"Ads - FB,Hot Lead,Next Session,JUN23_IMP,JUN23",shivika,########,shivika,,0,,0,"['Ads - FB', 'Hot Lead', 'Next Session', 'JUN23_IMP', 'JUN23']",[]
69334,Pratibha Academy,TRUE,"Address: Pratibha Academy, opp. Nutan Club, Nana Bazaar, Vallabh Vidyanagar, Gujarat 388120",9824279555,919824000000,GUJARAT,########,########,8/5/2024,he says i am not intrested please remove my number from your list,,"Ads - FB,Hot Lead,JUN23_IMP,JUN23",rohit,########,sakina,,0,1853,0,"['Ads - FB', 'Hot Lead', 'JUN23_IMP', 'JUN23']",[]
69342,Sri Vasavi English Medium School,TRUE,"P.Anil Kumar, Join Secretary , Sri Vasavi English Medium School - Srirampura - 577542 , Hosdurga tq , Chitradurga Dist - Karnataka State",94494 65627,919165000000,KARNATAKA,########,########,5/1/2024,he says call me in the next session of june,,"Ads - FB,Hot Lead,JUN23_IMP,JUN23",rohit,########,sakina,,0,1756,0,"['Ads - FB', 'Hot Lead', 'JUN23_IMP', 'JUN23']",[]
69421,"St Rameshwar Central School ,Nirbhay Kumar Nirala",TRUE,"Address: Main Road, Bharwara, Bishunathpatti, Bihar 847104",9470404094,9.1947E+21,eSchool,########,########,,Incoming is not available on this number,,"Ads - FB,Hot Lead,JUN23_IMP,JUN23",megha,########,iqbal,,0,,0,"['Ads - FB', 'Hot Lead', 'JUN23_IMP', 'JUN23']",[]
69759,Bengal Public School - Arindam Sinha,TRUE,"Address: SH 7, Sherpur, Khargram, Ramchandrapur, West Bengal 742159",90518 79456,919052000000,eSchool,9/7/2019,9/7/2019,,,Not Interested,"Ads - FB,Hot Lead,Next Session",shivika,########,shivika,,0,,0,"['Ads - FB', 'Hot Lead', 'Next Session']",['Not Interested']
70105,SRPV Bhavapur-Sandeep Singh,TRUE,"School Location Saharah, Mugkalyan Howrah, PIN - 711312"," 98398 77327, 70471 96366",919840000000,eSchool,########,########,,he said I have quit the schoool job so now I don't need it.,Not Interested,"Ads - FB,Farzi,Hot Lead",iqbal,########,iqbal,,0,,0,"['Ads - FB', 'Farzi', 'Hot Lead']",['Not Interested']
70169,DS Public School-Sanad Saxena,TRUE,"OCTORI NO, 08, NAWA PURBA, Firozpur, Punjab 152004"," 919653947266, 96538 33235",9.19654E+21,eSchool,########,########,########,,e-Demo,"Ads - FB,Hot Lead",iqbal,########,iqbal,,0,933,0,"['Ads - FB', 'Hot Lead']",['e-Demo']
70162,LBS College pratapgarh,TRUE,"Address: National Highway 113 Banswara, road, Pratapgarh, Rajasthan 312605",94144 19873,9.17598E+21,RAJASTHAN,########,########,,not getting any proper response from long time so marking not interested,Not Interested,"Hot Lead,JUN23_IMP,JUN23",shivika,########,shivika,,0,,0,"['Hot Lead', 'JUN23_IMP', 'JUN23']",['Not Interested']
70224,Saraswati Gyan Mandir,TRUE,"Diwakari, Umrain Alwar, Rajasthan PIN Code: 301001",97993 22242,919799000000,RAJASTHAN,########,########,,Not Interested,Not Interested,"softwaresuggest,Hot Lead,JUN23_IMP,JUN23",shivangi,########,sakina,,0,,0,"['softwaresuggest', 'Hot Lead', 'JUN23_IMP', 'JUN23']",['Not Interested']
70285,St Xaviers Point School-Vijay Dubey,TRUE,"37, Suren Sarkar Road, Beliaghata, Kolkata - 700010 (Near Milan Mandir, CIT More)",87776 73631,918778000000,WEST BENGAL,########,########,,He said for a now we are not interested.,Not Interested,"Ads - FB,Hot Lead",sakina,########,sakina,,0,,0,"['Ads - FB', 'Hot Lead']",['Not Interested']
70318,Vivekanand mission jivkorba English School- Kalyan Roy,TRUE,"Gj Sh 143, Mamlatdar Kacheri, Talod, Sabarkantha - 383215",88663 94483,918866000000,GUJARAT,########,########,,keeps on disconnecting the call.,Not Interested,"chat,Hot Lead,JUN23_IMP,JUN23",sakina,########,sakina,,0,,0,"['chat', 'Hot Lead', 'JUN23_IMP', 'JUN23']",['Not Interested']
74129,Green mount English school -Javed Jamal,TRUE,"Green Mount School,'F’-Sector, Itanagar-791113 Arunachal Pradesh (India)","94027 82454, 620493 9994 ",916205000000,eSchool,1/7/2020,1/7/2020,6/1/2021,asked to call once the schools reopen,"e-Demo,No Response","chat,Hot Lead,JUN23_IMP,JUN23",shivika,########,shivika,,0,511,0,"['chat', 'Hot Lead', 'JUN23_IMP', 'JUN23']","['e-Demo', 'No Response']"
74832,Madam Curie High School-Vaishnv Garasiya,TRUE," F7HF+476, Kukdeshwar, Madhya Pradesh 458116",89650 07827,918965000000,MADHYA PRADESH,########,########,,"called at the time of scheduled demo but he disconnects the call and he drops me a message on whatsapp stating this ""Sorry mem I am not interested your shoftwar Your software is very costly""",Not Interested,"Ads - FB,Hot Lead",sakina,########,sakina,,0,,0,"['Ads - FB', 'Hot Lead']",['Not Interested']
76602,Day Light Public School-,TRUE," HRH7+WPR, Virat Nagar Main Rd, Umri, Virat Nagar, Satna, Madhya Pradesh 485001","   9098119493 , 94247 33944",919098000000,MADHYA PRADESH,########,########,,,Not Interested,"Ads - FB,Hot Lead",sakina,########,sakina,,0,,0,"['Ads - FB', 'Hot Lead']",['Not Interested']
75364,Maa Saraswati Gyaan Mandir Inter college -,TRUE,"Address Jawapur, Kishani, Mainpuri, 206303, Uttar Pradesh, India",73980 00063,919759000000,eSchool,########,########,7/1/2021,"call to him, asked for revert said currently we are not interested, call in July",,"Ads - FB,Hot Lead,JUN23_IMP,JUN23",shivika,########,shivika,,0,503,0,"['Ads - FB', 'Hot Lead', 'JUN23_IMP', 'JUN23']",[]
75507,"Times Gurukul, Jagatsinghpur",TRUE,"Taradapada, Jagatsinghpur, Jagatsinghpur, Orissa, PIN Code: 754103 (INDIA)",785-502-9944,919437000000,ODISHA,########,########,########,No response,e-Demo,"Ads - FB,Hot Lead",iqbal,########,iqbal,sonali,0,1386,793,"['Ads - FB', 'Hot Lead']",['e-Demo']
68352,Alfa Advanced School,FALSE,"Jodhpur Bilara Padasla Kallan, Gps Np Pipad Shahar_Ward No. 9 Rajasthan India 342601",,918769000000,RAJASTHAN,########,########,,said I am not interested,"Final Call,e-Demo,Not Interested","Ads - SMS,Hot Lead,JUN23_IMP,JUN23",shivika,########,shivika,,0,,0,"['Ads - SMS', 'Hot Lead', 'JUN23_IMP', 'JUN23']","['Final Call', 'e-Demo', 'Not Interested']"
80808,ram lakhan patel vidhyalaya-vikash prajapati,TRUE,"Pilkhawan, Post, Barwa, Sohawal, Faizabad, Pincode-224182, Uttar Pradesh, India",9651247244,919651000000,uttar pradesh,7/9/2020,7/9/2020,,he cuts the call after hearing the name of eschoolapp,,"Ads - FB,Hot Lead,JUN23_IMP,JUN23",megha,########,iqbal,,0,,0,"['Ads - FB', 'Hot Lead', 'JUN23_IMP', 'JUN23']",[]
82255,Silicon Acadmey,TRUE,"Address: 76, Gali Number 3, Ward 7, Sanwer Road Industrial Area, Indore, Madhya Pradesh 452015",8269091343,8269091343,,,,,,,,,,,,,,,,
9072,Venkateswar English Medium School,TRUE,"Venkateswar English Medium School
35, Chandrasekharpur
Near Infocity Road and CTTC
Bhubaneswar, Odisha-751024","7381267777 , 7381268888",920000000000,,,,,,,,,,,,,,,,
82360,The Legacy world school,TRUE,"225, Airport Rd, Dwarkadhish Colony, Panchsheel Nagar, Indore, Madhya Pradesh 452005",919893079247,919893079247,,,,,,,,,,,,,,,,
10450,impulse english school,TRUE,"NH-11, Agra Side Bypass Tiraha, Agra Road, Dausa Rajasthan, 303303",94622 32526,9110000000000,,,,,,,,,,,,,,,,
82556,EDUVERTS COMMUNICATION PRIVATE LIMITED,TRUE,"Eduvest Connect Pvt Ltd, 3rd Floor, B-1, HIG Main Rd, Nanda Nagar, Indore, Madhya Pradesh 452001","8959881603, 9302 64 9284",919000000000,,,,,,,,,,,,,,,,
82099,S. Tech international School,TRUE,"Address: NH service road, suras chauraha NH, via, near palana temple, Pansal, Rajasthan 311802",918949084654,918949084654,,,,,,,,,,,,,,,,
82449,Gyan carnival school,TRUE,"Address: 13, Main Road, Clerk Colony, Indore, Madhya Pradesh 452011",919926043336,919926043336,,,,,,,,,,,,,,,,
82324,Shree Swami Ramanand Vidya Sankul,TRUE,"Address - SHREE SWAMI RAMANAND VIDYA SANKUL RAMTEKRI TAPOVAN VILL.- SOPRA,CHACHODA, Sopra, Madhya Pradesh 473115, + 91 963 005 8064, +91 963 005 8438",917024574702,917024574702,,,,,,,,,,,,,,,,
1666,Rungta International School-Mrs.Nandini Dasgupta,TRUE,"Address: RIS Building, behind Nandan Van, Veer Savarkar Nagar, Raipur, Chhattisgarh 492099",77166 66666,"910771 6888888,",,,,,,,,,,,,,,,,
68061,Mount Valley International School-Ramniwas Dhakar,TRUE,"Mount Valley International School Sarlai, Peeo Sukhwara, Bhadesar Chittaurgarh Sarlai1 (pincode: 312613) Rajasthan.",99290 99205,919929687831,,,,,,,,,,,,,,,,
82209,Sans Public School,TRUE,"Address: 3rd Cross Rd, Kanthirava Layout, Kanteerava Nagar, Nandini Layout, Bengaluru, Karnataka 560096",80 2955 8405,917760028426,,,,,,,,,,,,,,,,
82054,K.H. Memorial School,FALSE,"`K H Knowledge City, Jawahar Nagar, Bhilai, Chhattisgarh 490023",99813 92164,919981392164,,,,,,,,,,,,,,,,
69562,Devnandan Inter Collage,FALSE,,919984551100,919984551100,,,,,,,,,,,,,,,,
82529,Jubilant group of education,TRUE,"Address: Ayesha Masjid, 72-73 Geeta Nagar Bhind, Indore, Madhya Pradesh 452006",97540 01473,918718934099,,,,,,,,,,,,,,,,
65964,"T R Public School, Uttar Pradesh - Ajay Dubey",TRUE,"Amee Alapur, Pura, Faizabad, Ayodhya Uttar Pradesh PIN Code: 224172",99190 92966,919919092966,,,,,,,,,,,,,,,,
82501,Shikshalay Day Scholar School,TRUE,"Address: 19, shree krishna enclave, Ujjain - Indore Rd, Ringnodiya, Madhya Pradesh 453555",62321 01322,916232101321,,,,,,,,,,,,,,,,
67039,Kidz Kingdom Pre-school And Activity Centre-Mala Lohani,TRUE,"DURAVAS COMPLEX, YASHWANT VIVA TOWNSHIP OPP. DMART BEHIND FIRE BRIGADE, Vasai East, Maharashtra 401209",9619302266,,,,,,,,,,,,,,,,,
82528,Little harvard international school,TRUE,"Address: 102, Airport Rd, Shakti Nagar, Ambikapuri Extension, Sadhna Nagar, Indore, Madhya Pradesh 452006",919340603033,,,,,,,,,,,,,,,,,
66561,Knowledge Rain Public School-Sanjay Yadav,TRUE,"Address: MP64+XHH, Oswada, Madhya Pradesh 451770 MADHYA PRADESH",918770677409,,,,,,,,,,,,,,,,,
82411,Silicon Academy,TRUE,Indore Urban Hss Vijay Nagar Ward No.22 Madhya Pradesh India 452001 (Map),918269091313,,,,,,,,,,,,,,,,,
82472,Parakh Public H. S. School,TRUE,"Address: Biloda Nayta Rd, Sanwer, Madhya Pradesh 453771",919826066807,,,,,,,,,,,,,,,,,
82478,RAJORIA INTERNATIONAL,TRUE,"Address: 100, Veena Nagar Main Rd, Khati Pura Rd, DDU Nagar, Sukhlia, Indore, Madhya Pradesh 452003",917489276224,,,,,,,,,,,,,,,,,
82541,Ideal Public School,TRUE,"Address - Dwarkapuri Colony, Indore, India, 452009, Phone - 098260 45456",919827234650,,,,,,,,,,,,,,,,,
82536,Elite Public School,TRUE,"C27 Suvidhi Nagar, Rukmani Nagar, Smriti Nagar, Indore - 452006 (Near Smruti Nagar)",919425479184,,,,,,,,,,,,,,,,,
82322,Bhandari public school,TRUE," Near B.T College, Pdela Hanuman Mandir Marg, Khandwa, Madhya Pradesh 450001",919425087900,,,,,,,,,,,,,,,,,
82538,Sanjivani Global Academy,TRUE,Indore Bhopal Highway Bhourasa Sonkatch 455115,919981104970,,,,,,,,,,,,,,,,,
82534,"Brilliant Brains, The Foundation School",TRUE,"  G 237, G Sector, Silicon City, indore, Indore, India, 452012, Phone - 096854 91919",9977502747,,,,,,,,,,,,,,,,,
69493,SGM UPPER PRIMARY SCHOOL PAGARIYA,TRUE,"Village Pagariya, Pagariya, Pt. Samiti Bhawanimandi Tehsil Pachpahar, District Jhalawar, Rajasthan, Pin Code 326512","700014 5435, 89550 63134",,MADHYA PRADESH,,,,,,,,,,,,,,,
